15M          Fifteen minutes
ACG          Automatic call gap
ACH          Attempt per circuit per hour
ACIA         Asynchronous communications interface adapter
ACI          Answer controller interface (IOM2 monitor command)
ACK          Acknowledge
ACKDB        Acknowledgement database
ACK          No acknowledgement wink
ACK          No acknowledgement wink (MDII)
ACM          Address complete msg. (SS7: in ISUP)
ACOF         Attendant control of facilities
ACP          Action point
ACSE         Association control service element
ACSNET       Academic computing services network
ACSR         Automatic customer station rearrangement
ACSU         Advanced T-1 channel service unit
ACT          AC testing definition
ACT          AC Testing definition
ACT          Activate
ACT          Active
ACT          Auto or automatic circuit transactions
ACTS         Automated coin toll service
ACTV         Activated
ACTVD        Activated
ACU          Alarm control unit
ACU          Automatic calling unit
ADAP         Audix data acquisition package
ADAS         Advanced directory assistance system
AD           Attendant INTER/TRA blocal 1-26
ADC          American digital cellular
ADC          Analog to digital converter
ADCCP        Advanced data communication control procedure
ADCCP        Advanced data communications control procedure
ADCI         Automatic display call indicator
ADD EXP      Address expander
ADDL         Additional
ADDR         Address translations
ADJ          Adjust
ADMA         Advanced DMA controller SAB82258
ADM          Add-drop multiplex
ADN          Abbreviated dialing number
ADP          Automatic diagnostic process.
ADPCM        Adaptive PCM
ADS          Administration of designed services
ADS          Administration of designed services review
ADS          Advanced digital system
ADS          Audio distribution system
ADS          Auxiliary data system
ADSL         Asymmetrical digital subscriber line
ADTS         Automated digital terminal system
ADTS         Automatic data test system
ADTS         Automatic digital terminal system
ADU          Automatic dialing unit
AERM         Alignment error rate monitor
AFACTS       Automatic facilities test system
AFADS        Automatic force adjustment data system
AF           Commercial audio fulltime INTER/TRA blocal 1-26
AFE          Analog front end
AFI          Authority and format identifier (ISO 7498)
AFSC         Advanced features service center
AFSK         Automatic frequency shift keying
AGC          Automatic gain control
AG/EEE       Above ground electronic equipment enclosures
AGM          Normal aging months
AGND         Analog ground
AGT          Accelerated aging type
AI           Activate indication (C/I channel code)
AI           Artificial intelligence
AI           Assigner's initials
AI           Automatic identified outward dialing INTER/TRA blocal 1-26
AIC          Automatic intercept center
AICC         Automatic intercept communications controller
AIN          Advanced intelligent network
AIOD         Automatic identification of outward dialing
AIS          Alarm indication signal
AIS          Alarm indication signals
AIS          Automatic intercept system
AIT          Analit initialization of tables
AIU          AI upstream
AL           Alternate services INTER/TRA blocal 1-26
ALATS        Automatic loop access system system (DDS service)
ALBO         Automatic line buildout
ALE          Address latch enable
ALE          Automatic line evaluation
ALFE         Analog line front end
ALGOL        Algorithmic computer language
ALI          Automatic location identification
ALIT         Automatic line insulation testing
ALL          All events
ALL          All module controller maintenance interrupts
ALL          Turns on all IDs
ALPT         Alarm scan points
ALRM         Alarms
ALRU         Automatic line record update
ALS          Automated list service
AMA          Automatic message accounting
AMA          Automatic Message Accounting
AMACS        AMA collection system
AM           Administrative module
AMAIRR       Automatic message accounting irregularity
AMALOST      Lost automatic message accounting
AM           Amplitude modulation
AMARC        AMA recent change
AMARC        AMA recording center
AMASE        AMA standard entry
AM           Asynchronous multiplexer
AMAT         Automatic message accounting transmitter
AMATPS       Automatic message accounting teleprocessing system
AMATPS       Automatic message accounting transmitter teleprocessing system
AMC          Add-on module connector (-> sipb)
AMERITECH    American information technologies
AMI          Alternate mark inversion code
AML          Automatic maintenance limit.
AM           Packet
AMP          Advance measurement processor
AMP          Amplifier
AMPS         Advanced mobile phone service
AMR          Automatic meter reading
AMWI         Active message waiting indicator
ANA          Automatic number announcement
AN           Announcement service INTER/TRA blocal 1-26
AN           Associated number
ANC          All number calling
ANCT         Analysis control table
ANI          Automatic number identification
ANIF         Automatic number identification failure
ANM          Answer msg. (SS7: in ISUP)
ANS          Answer
ANS          Answer msg.
ANS          Answer On Bus
ANSER        AT&T Network Servicing System (i.e.  via EADAS link )
ANSI         American national standards institute
AO           Allocation order
AOC          Advice of charge (i.256 B)
AO           International/overseas audio (full time) INTER/TRA blocal 1-26
AOSS         Auxiliary operator service system
AP           Access point
AP           Application (OSI layer 7)
AP           Application processor
AP           Attached processor
AP           Automatic position
AP           Auxiliary processor
APC          Alarm processor circuit
APC          Amarc protocol converter
AP           Commercial audio (part time) INTER/TRA blocal 1-26
APD          Access point data
APD          Avalanche photo diode
APDB         Access point data base
APDL         Application processor data link
APH          Application protocol handler
API          Application interface
APM          Application processor modules
APPC         Advanced program to program communication (IBM)
AP-PG        Access point page
APPL1-APPL5  Reserved for application handlers
APS          Automatic position system
APS          Automatic protection switch
APS          Automatic protection switching system
AQ           Autoquote problem.
AR01         Office alarm - 1AESS alarm message -
AR02         Alarm retired or transferred - 1AESS alarm message -
AR03         Fuse blown - 1AESS alarm message -
AR04         Unknown alarm scan point activated - 1AESS alarm message -
AR05         Commercial power failure - 1AESS alarm message -
AR06         Switchroom alarm via alarm grid - 1AESS alarm message -
AR07         Power plant alarm - 1AESS alarm message -
AR08         Alarm circuit battery loss - 1AESS alarm message -
AR09         AMA bus fuse blown - 1AESS alarm message -
AR10         Alarm configuration has been changed (retired inhibited) - 1AESS
AR11         Power converter trouble - 1AESS alarm message -
AR13         Carrier group alarm - 1AESS alarm message -
AR15         Hourly report on building and power alarms - 1AESS alarm message
ARA          Automatic reservation adjustment
AR           Activation request (C/I channel code)
AR           Alarm report
ARC          Administrative responsibility code
ARC          Alternate route cancellation
ARC          Alternate route cancellation control
ARC          Audio response controller
ARCOFI       Audio ringing codec filter
ARCOFI-SP    ARCOFI + speakerphone function
ARCOS        ARCOFI coefficient support program
ARCOTI       SIPB telephone module
ARD          AR downstream
ARG          Alarm reference guide
ARG          Assemble and run a given master file
ARIS         Audichron recorded information system
ARL          Activation request local loop (C/I channel code)
ARM          Activation request maintenance (C/I channel code)
ARMAR        Automatic request for manual assistance resolution
ARM          Asynchronous response mode
ARM          Automatic R(emote test system) maintenance
ARN          Activation request
ARQ          Automatic repeat request
ARR          Automatic ring recovery.
ARS          Alternate route selection
ARS          Automatic route selection
ARSB         Automated repair service bureau
ARSB         Automatic repair service bureau
ARSSI        Automatic rough selection screening index
ART          Audible ringing tone
ARU          Activation request upstream
ARU          Audio response unit
ASAP         As soon as possible
ASC          Alarm and status circuit
ASC          Alarm and status circuit .
ASC          Alarm surveillance  and control
ASCC2        Advanced serial communication controller
ASCII        American standard code for information interchange
ASCII        American standard code for information interexchange
ASD          Automated SMAS diagnostics
ASDPE        Synchronous data link controller (SDLC) A reset
ASE          Application service element
ASEC         Assignment section
ASGN         Assign
ASGNMTS      Assignments
ASIC         Application specific integrated circuit
ASM          Analog subscriber module
ASOC         Administrative service oversight center
ASPACGCOMP   ASP SCP response message with an ACG component received at the switch
ASP          Advanced service platform
ASP          Arcofi signal processor
ASPBADRESP   ASP SCP response message received with invalid data
ASPEN        Automatic system for performance evaluation of the network
ASPNORTEMSG  ASP reject message ret err and a play announcement received at the switch from the SCP
ASPSNCOMP    ASP SCP response message with a send notifi component received at the switch
ASPTNMSG     ASP termination notification message sent from the switch to the SCP
ASR          Access service request
ASSN         Assignment
AST          Position acknowledge seizure signal time-out (MDII)
ASYNC        Asynchronous
AT01         Results of trunk test - 1AESS automatic trunk test
AT-1         Auto test-1
AT-2         Auto test-2
ATA          Automatic trunk analysis
ATAB         Area trunk assignment bureau
AT           Access tandem
ATAI         Automatic troubler analysis interface
ATB          All trunks busy
ATB          All Trunks Busy
ATC          Automated testing control
ATC          Automatic transmission control
ATD          Accept date
ATD          Async. TDM
A            Telephone number or trunk group and member number from trouble
ATH          Abbreviated trouble history
ATI          Automatic test inhibit
ATI          Awake TI
ATICS        Automated toll integrity checking system
AT           International/overseas audio (part time) INTER/TRA blocal 1-26
ATIS         Automatic transmitter identification system
ATM          Analog trunk module
ATM          Asynchronous transfer mode
ATM          Automatic teller machine
ATMS         Automated trunk measurement system
ATN          Assigner's telephone number
ATO          Time-out waiting for address complete signal
ATP          All tests pass
ATR          Alternate trunk routing
ATRS         Automated trouble reporting system
AT&T         American telephone and telegraph
ATTC         Automatic transmission test and control circuit
ATTCOM       AT&T communications
ATTG         Attendant group
ATTIS        AT&T information system
AU           Access unit
AU           Autoscript INTER/TRA blocal 1-26
AU           Auxiliary
AUD          Assignment list audit
AUD          Audits
AUDIT        Audit detected problem.
AUDIX        Audio information exchange
AUP          Access unit port
AUTO         Automatic
AUTODIN      Automatic digital network
AUTOSEVCOM   Automatic secure voice communications
AUTOVON      Automatic voice network
AUXF         Auxillary frame
AVD          Alternate voice data
AVD          Alternate voice-data
AWI          Awake indication
AZD          All zeros data
B6ZS         Bipolar with 6 zero substitution
B8ZS         Bipolar eight zero suppression encoding (DS-1)
B8ZS         Bipolar with 8 zeros substitution (T1 pri)
B911         Basic 911
BA           Basic access
BAF          Blocking acknowledgment failure
BAI          Bridge lifter assignment inquiry
BAL          Balance
BAMAF        Bellcore AMA format
BANCS        Bell administrative network communications system
BANKS        Bell administration network systems
BAPCO        Bellsouth advertising & publishing company
BA           Protective alarm (CD) INTER/TRA blocal 1-26
BAS          Basic activity subset
BAT          Battery (-48v)
BAx          Business address x (x = number of line)
BB           Blue box
BBD0/1       Binary 0s or 1s detected in b and d channels
B            Bridged connection
B            B side (pair) (lead)
BCC          Bellcore client companies
BCC          Block check character
BCC          Blocked call cleared
BCCP         Bearer ccp
BCD          Binary coded decimal
BCD          Blocked call delayed
BCFE         Busy call forwarding extend
BCID         Business customer identifier
BCLID        Bulk calling line identification
BCMS         Basic call management system
BCS          Batch change supplement (NTI) (DMS-100)
BDCA         Unk
BDCS         Broadband digital cross-connect system
BDS          Basic data service
BDT          Billing data transmitter
BEF          Band elimination filter
BEL          Bell
BELLCORE     Bell communications research
B            Equipment number
BER          Bit error rate
BERT         Bit error rate test
BETRS        Basic exchange telecommunications radio service
BG           Battery and ground signaling
BG/EEE       Below ground electronic equipment enclosures
BHC          Busy hour call
BHC          Busy hour calls
BIB          Backward indicator bit (SS7)
BICU         Bus interface control unit
BIFIFO       Bidirectional fifo
BIR          Bit receiver
BIR          Bus interface register
BISDN        Broadband ISDN
BISP         Business information system program
BISYNC       Binary synchronous communications
BIT          Bit
BIT          Bit transmitter
BITNET       Because-it's-time network
BITR         Bit transceiver
BIX          Building internal cross-connects
BK           Back
BKUP         Backup
BKUP         Requests a backup
BLA          Blocking acknowledgement (SS7: in ISUP)
BL           Bell & lights INTER/TRA blocal 1-26
BL           Bridge lifter
BL           Bridge lifters - COSMOS command
BL/DS        Busy line/don't answer
BLF          Busy line field
BLFCA        Blocking a fully coded addressed international outbound call routed to a non-common channel signaling trunk
BLK          Block
BLKD         Blocked
BLO          Blocking (SS7: in ISUP)
BLS          Bridge lifter status
BLS          Business listing service
BLV          Busy line verification
BMC          Billing media coverage
BMD          Batch mode display
BMI          Batch mode input - TIMEREL and DEMAND
BMOSS        Building maintenance operations service system
BMR          Batch mode release
BMU          Basic measurement unit (dip)
BND          Band number
BNS          Billed number screening
BNSDBOV      BVA BNS message received indicating data base overload
BNSDBUN      BVA BNS message returned because data base unable to process
BNSGMSG      BVA BNS message received garbled
BNSNBLK      BVA BNS message returned because of network blockage
BNSNCON      BVA BNS message returned because of network congestion
BNSNRTE      BVA BNS message returned because of no routing data
BNSTOUT      BVA BNS message returned because of timeout
BNSUNEQ      BVA BNS message returned because of unequipped destination
BNSURPY      BVA BNS message received with an unexpected reply
BNx          Business name x (x = number of line)
BOC          Bell operating companies
BOC          Bell operating company
BOCC         Building operations control center
BOP          Byte oriented protocol
BOR          Basic output report
BORSCHT      Battery
BOS          Bit oriented signaling
BOS          Business office supervisor
BOSS         Billing and order support system
BOSS         Business office service system (NYNEX)
BOT          Beginning of tape
BOT          Bottom
BPI          Bits per inch
BPOC         Bell point of contact
BPS          Bits per second
BPSK         Binary psk
BPSS         Basic packet-switching service
BPUMP        Backup pump
BRAT         Business residence account tracking system
BR           Bit robbing (CAS-BR)
BRCF         Business and residential customer service feature
BRCS         Business and residential customer services
BRCS         Business residence custom service
BRDCST       Broadcase
BRDG         Bridge
BRDGD        Bridged
BREVC        Brevity control
BRG          Baud rate generator
BRI          Basic rate interface
BRITE        Basic rate interface transmission extension (5ESS)
BRK          Break
BRM          Basic remote module
BRM          Bell communications research practice
BRST         Bridge signature table
BSA          Basic serving arrangements
BS           Backspace
BS           Banded signaling
BSBH         Busy season busy hour
BS           Bias battery (-19.1v)
BSC          Business service center
BSCM         Bisynchronous communications module
BSC/RSC      Business/residence service center
BSDPE        SDLC B reset
BSE          Basic service elements
BSF          Bell shock force
BSI          British standards institution
BSN          Backward sequence number (SS7)
BSOC         Bell systems operating company
BSP          Bell system practice
BSRF         Basic standard reference frequency
BSRFS        Bell system reference frequency standard
BS           Siren control INTER/TRA blocal 1-26
BST          Basic services terminal
BSTJ         Bell system technical journal
BTAM         Basic telecommunications access message
BT           British telecom
BTH          Both
BTL          Bell telephone laboratories
BTN          Billing telephone number
BTSR         Bootstrapper board
BTU          British thermal unit
BUFF         System buffers (NTI)
BVA          Billing validation application
BVAPP        Billing verification and authorization for payment process
BVC          Billing validation center
BVS          Basic voice service
BWM          Broadcast warning message
BWT          Broadcast warning twx
BWTS         Bandwidth test set
BYF          Display the bypass file
BYP          Change the contents of the bypass file
C1           Circuit system
CABS         Carrier access billing system
CA           Cable
CA           Cable number
CAC          Calling-card authorization center
CAC          Carrier access code
CAC          Circuit administration center
CAC          Customer administration center
C-ACD        Commercial-automatic call distributor (OSPS)
C&A          Centrifugal and absorption
CACHE        Cache errors
CA           Collision avoidance
CAD          Computer-aided dispatch
CAD          Critical alarm display
CADN         Circuit administration.
CADV         Combined alternate data/voice
CAF          Circuit reset acknowledgment failure
CAFD         Comptrollers' automatic message accounting format description
CAFD         Controllers automatic message accounting format description
CAI          Address incomplete received
CAI          Call assembly index
CAIS         Colocated automatic intercept system
CALRS        Centralized automatic loop reporting system
CAMA         Central automatic message accounting.
CAMA         Centralized automatic message accounting
CAMA         Centralized auto message accounting
CAM          Communication access method
CAM          Computer aided manufacturing
CAM          Content addressable memory
CAM          Control administration module
CAN          Cancel
CANC         Cancel (i.451)
CANF         Clear the cancel from
CANT         Clear the cancel to
CAP          Capacitance
CARL         Computerized administrative route layout
CAROT        Centralized automatic reporting on trunks
CAROT        Centralized automatic reporting on trunks.
CAS7ABM      CAS common channel signaling 7 (CCS7) abort message received
CAS7ACG      CAS CCS7 ACG invoke component received
CAS7GMG      CAS CCS7 received with invalid format reply
CAS7GWE      CAS CCS7 error
CAS7NCG      CAS CCS7 message returned because of network congestion
CAS7NFL      CAS CCS7 message returned because of network failure
CAS7RCR      CAS CCS7 reject component received
CAS7SCG      CAS CCS7 message returned because of subsystem congestion
CAS7SFL      CAS CCS7 message returned because of subsystem failure
CAS7TAN      CAS CCS7 message returned
CAS7TOT      CAS CCS7 query which timed out before reply received
CAS          Cannel associated signaling
CAS          Circuit associated signaling
CAS          Computerized autodial system
CAS          Craft access system (SARTS)
CAS          Customer account service
CASDBOV      CAS message received indicating data base overload
CASDBOV      Customer account services (CAS) message received indicating data base overload
CASDBOV      Customer account services (CAS) message received indicating database overload
CASDBUN      CAS message returned
CASGMSG      CAS message received garbled
CASNBLK      CAS message returned because of network blockage
CASNCON      CAS message returned because of network congestion
CASNRTE      CAS message returned because of no routing data
CA           SSN access INTER/TRA blocal 1-26
CASTOUT      CAS message returned because of timeout
CASUNEQ      CAS message returned because of unequipped destination
CASURPY      CAS message received with an unexpected reply
CAT          Centrex access treatment
CAT          Craft access terminal
CATLAS       Centralized automatic trouble locating and analysis system
CAY          Create an assembly
CBA          Change back acknowledgement (SS7: in mtp)
CBD          Change back declaration (SS7: in mtp)
CBEMA        Computer and business equipment manufacturers' assc.
CBERR        Correctable bit error
CB           OCC audio facilities INTER/TRA blocal 1-26
CBS          Crossbar switching
CBX          Computerized branch exchange
CC1          Call control 1 (IOS)
CCA          Change customer attributes
CCA          Computer content architecture (ISO 8637/2)
CCBS         Completion of call to busy subscribers (i.253 c)
CC           Call count
CCC          Central control complex
CCC          Clear channel capability
CCC          Computer control center
CC           Central control
CC           Central controller
CC           Common channel (CAS-CC)
CC           Common control
CC           Connection confirm
CC           Country code
CC           Country code (ISO 7498)
CCD          Change due date - COSMOS command
CCDDBOV      BVA calling card (CCRD) message received indicating data base overload
CCDDBUN      BVA CCRD message returned because data base unable to process
CCDGMSG      BVA CCRD message received garbled
CCDNBLK      BVA CCRD message returned because of network blockage
CCDNCON      BVA CCRD message returned because of network congestion
CCDNRTE      BVA CCRD message returned because of no routing data
CCDR         Calling card
CCDTOUT      BVA CCRD message returned because of timeout
CCDUNEQ      BVA CCRD message returned because of unequipped destination
CCDURPY      BVA CCRD message received with an unexpected reply
CCF          Custom calling features
CCH          Connections per circuit per hour
CC           Initials of person closing report out to catlas.
CCIR         Comite' consultatif international des radio communications
CCIR         Consultative committee for radiocomunication (international radio
CCIS         Common channel interoffice signaling
CCITT        Comite' consultatif international telegraphique et telephonique
CCITT        Consultative committee for internat. telephone and telegraph
CCM          Customer control management
CCNC         CCS network control
CCNC         Common channel network controller
CCNC         Computer/communications network center
CCOA         Cabinet control and office alarm
CC           OCC digital facility-medium speed INTER/TRA blocal 1-26
C            Counting rate
CCP          Call control part
CCRC         Corrupt crc (IOM2 monitor command)
CCR          Clock configuration register
CCR          Continuity check request (SS7: in ISUP)
CCR          Customer-controlled reconfiguration
CCRD         Calling card (5E)
CCRS         Centrex customers ... system
CCSA         Common control switching arrangement
CCS          Centum Call Seconds
CCS          Cluster support system
CCS          Common channel signaling
CCS          Custom calling services  (NTI)
CCS          Hundred call seconds
CCS          Hundred (C) call seconds
CCTAC        Computer communications trouble analysis center
CCT          Central control terminal
CCT          Initialize and update the contractor-transducer file
CCU          Colt computer unit
CCU          Combined channel units
CCU          Communication control unit
C            Current supervision
CCV          Calling card validation
CDA          Call data accumulator
CDA          Change distribution attributes
CDA          Coin detection and announcement
CDACS        Concentrating DACS
CDAR         Customer dialed account recording
CD           Call deflection (i.252 e)
CDC          Central distribution center
CDCF         Cumulative discounted cash flow
CD           Collision detection (->csma/)
CDD          Change due date
CDF          Combined distributing frame
CDF          DTF coin
CDFI         Communication link digital facilities interface
CDI          Circle digit identification
CDI          Connected line identification (i.251 C/E)
CDI          Control and data interface.
CDI          Control data interface
CDIG         Circle digit translation  (NTI)
CDMA         Code division ma
CDM          Coax data module
CDO          Community dial office
CDPR         Customer dial pulse receiver
CDQ1         Custom calling services discount quote
CDR          Call detail record
CDR          Call dial rerouting
CDR          Collision detect input line
CDR          Cut thru dip report
CDRR         Call detail recording and reporting
CDS          Circuit design system
CDS          Codes
CDS          Craft dispatch system
CE           Collision elimination (->CSMA/)
CE           Common equipment data  (NTI)
CE           Conducted emission (EME)
CEF          Cable entrance facility
CEI          Comparable efficient interconnection
CEI          Comparably efficient interconnection
CENELEC      European committee of standards (electrotechnics)
CEN          European committee of standards
CEP          Connection endpoint
CEPT         European conference of post/telecom administrations
CES          CC error summary
CE           SSN station line INTER/TRA blocal 1-26
CEU          CCS estimated usage
CEV          Control environmental vault
CEV          Controlled environment vault
CFA          Carrier failure alarms
CFA          Change facility attributes
CFCA         Communications fraud control association
CFC          Cost function code
CF           Coin first
CFD          Coinless ANI7 charge-a-call
CFGN         Configuration
CFI          Configurable interface (SIPB)
CFINIT       Custom calling feature table
CFN          Call forward number
CFND         Call forward number don't answer
CFNR         Call forwarding no reply (i.252 c)
CF           OCC special facility INTER/TRA blocal 1-26
CFP          Call forwarding busy (i.252 b)
CFP          Print the class of service/features for an electromechanical enti
CFR          Code of federal regulations
CFT          Craft
CFU          Call forwarding unconditional (i.252 d)
CFU          Change facility usage
CG01         Carrier group in alarm  - 1AESS carrier group
CG03         Reason for above - 1AESS carrier group
CGA          Carrier group alarm
CGA          Carrier group assignment
CGAP         Call gapping
CGAP         Call gapping code controls messages.
CGBA         CGB acknowledgement
CGB          Circuit group blocking (SS7: in ISUP)
CG           Control group number
CGM          Computer graphics metafile (ISO DIS 8632)
CGNC         Connector group network controller
CGN          Concentrator group number
CG           OCC telegraph facility INTER/TRA blocal 1-26
CGUA         CGU acknowledgement
CGU          Circuit group unblocking (SS7: in ISUP)
CHAN         Channel
CHAPS        UNK - a known AT&T System - def. unknown
CHAR         Character
CH           Change
CHG LASG     Change loop assignment
CHK          Check
CH           OCC digital facility high-speed INTER/TRA blocal 1-26
CHR          Chronical
CI0IN        Control interface 0 interrupt
CI1IN        Control interface 1 interrupt
CIB          Centralized intercept bureau
CIC          Carrier identification codes
CIC          Circuit identification code
CIC          Customer Information Center (AT&T)
C/I          Command/indicate
CI           Concentrator identifier trunk INTER/TRA blocal 1-26
CICS         Customer information control system
CID          Connection identification
CIE          Company establish company initiated change
CIF          Common intermediate format (for ISDN high end video)
CIH          Craft interface handler
CII          Call identity index
CII          Initial address message (IAM) irregularity (incoming)
CIMAP/CC     Circuit installation and maintenance assistance/control center
CIMAP        Circuit installation and maintenance assistance program
CIP          Control interface port
CIRR         C/I receive register
CIS          Crimeline information systems
CIS          Customized intercept service
CIXR         C/I transmit register
CJ           OCC control facility INTER/TRA blocal 1-26
CK           Check bits
CKF          Continuity check failure (incoming)
CKID         Circuit identification
CKL          Circuit location
CK           OCC overseas connecting facility wide-band INTER/TRA blocal 1-26
CKS          Clock select bit
CKT          Circuit
CKTRY        Circuitry
CLASS        Centralized local area selective signaling
CLASS        Custom local area signaling service
CLC          Common language code for an entity
CL           Centrex CO line INTER/TRA blocal 1-26
CLCI         Common language circuit identification
CLCT         Network management control counts
CLDIR        Call direction
CLDN         Calling line directory number
CLEI         Common language equipment identifier
CLF          Creating dips upper bound load factor
CLFI         Common lang facilities identification
CLI          Calling line ident
CLI          COSMOS processed alit reports
CLID         Calling line identification
CLIP         Calling line identification presentation (i.251 c)
CLIR         Calling line identification restriction (i.251 d)
CLK          Clock
CLL          Creating dips lower bound load factor
CLLI         Common-language location identification
CLNK         Communication link
CLNKs        Communication links
CLNORM       Communication link normalization
CLRC         Circuit layout record card
CLR          Circuit layout record
CLR          Clear
CLS          CLCI in serial number format
CLS          Connectless-mode service
CLSD         Closed
CLSV         Class of service
CLT          CLCI telephone number format
CLT          Communications line terminal
CLUS         Cluster data   (NTI)
CMAC         Centralized maintenance and administration center
CMAP         Centralized maintenance and administration position
CMC          Call modification completed (SS7: in ISUP)
CMC          Cellular mobile carrier
CMC          Construction maintenance center
CM           C-message frequency weighting
CM           Communication module
CM           Connection memory
CMD          Command
CMDF         Combined main distributing frame
CMDS         Centralized message data system
CMF          Capacity main station fill
CM           OCC video facility INTER/TRA blocal 1-26
CMP          Communication module processor
CMP          Communications module processor
CMP          Companion board
CMP          Corrective maintenance practices
CMPR         Compares
CMR          Call modification request (SS7: in ISUP)
CMR          Cellular mobile radio
CMRJ         CMR reject (SS7: in ISUP)
CMS          Call management system
CMS          Circuit maintenance system
CMS          Circuit maintenance system 1C
CMS          Communications management subsystem
CMS          Conversational monitoring system
CMT          Cellular mobile telephone
CMT          Combined miscellaneous trunk frame
CMU          CCS measured usage
CMU          Colt measurement unit
CN02         List of pay phones with coin disposal problems - 1AESS coin phone
CN03         Possible trouble - 1AESS coin phone
CN04         Phone taken out of restored service because of possible coin fraud
CNAB         Customer name/address bureau
CNA          Communications network application
CN/A         Customer name/address
CNCC         Customer network control center
CN           Change notice
C-NCH        C-notch
CN           C-notch frequency weighting
CN           Connection
CNI          Common network interface
CNMS         Cylink network management system
CNS          Complimentary network service
CNS          Concentrating network system
CN           SSN network trunk INTER/TRA blocal 1-26
CNT          Count
CNTS         Counts
CNVT         Converted
COA          Change over acknowledgement (SS7 in MTE)
COAM         Centralized operation
COAM         Customer owned and maintained
COC          Circuit order control
CO           Central office
CO           Continuous (SARTS)
COCOT        Customer-owned coin-operated telephone
CODCF        Central office data connecting facility
COD          Code
CODEC        Coder/decoder
COE          Central office entity
COE          Central office equipment
COEES        Central office equipment engineering system
COEES        COE engineering system
COER         Central office equipment record
COEST        Central office equipment signature table
COFA         Change of frame alignment (DS-1)
COF          Confusion received (outgoing)
COG          Centralized operations group
COGRDG       Central office grounding
COLP         Connected line identification presentation
COLR         Connected line identification restriction
COLT         Central office limit table
COLT         Central office line tester
COM          Common controller
COM          Communication
COM          Complement size
COM          Computer output microfilm
COM/EXP      PCM-compander/expander
COMM         Communication
COMMS        Central office maintenance management system
COMMS-PM     Central office maintenance management system-preventive maintenance
COMP         Computed
COMPNY       Company
COMPS        Central Office Management Program (GTE)
COMSAT       Communications satellite
CON          Concentrator - COSMOS command
COND         Conditions
CONF         Conference calling (i.254 a)
CONFIG       Configuration
CONN         Connect msg. (i.451)
CONN         Connector
CONN         Nailed-up connections
CONTAC       Central office network access
CONT         Control
CONUS        Continental united states
CO           OCC overseas connecting facility INTER/TRA blocal 1-26
COO          Change over order (SS7: in MTP)
COP          Call offering procedure
COPY         Data copied from one address to another - 1AESS copy
CORC         Commands and responses definition and compressing program (IOS)
CORC         Customer-originated recent change
CORCs        Customer-originated recent changes
CORNET       Corporate network
CorNet       Corporate network protocol (ECMA and CCITT q.930/931 oriented)
COS          Connection-mode service
COSIB        Central office platform operator service interface board
COSMIC       Common systems main interconnection frame system (frame)
COSMOS       Computer system for mainframe operations
COT          Central office technician
COT          Central office terminal
COT          Central office terminal (opposite to RT)
COT          Continuity (SS7: in ISUP)
COTM         Central office overload call timing (NTI)
CO UN        Central office unit code
CPA          Centralized/bulk power architecture
CP           Cable pair
CP           Call processing parameters  (NTI)
CPC          Cellular phone company
CPC          Circuit provision center
CPC          Circuit provisioning center
CPC          Circuit provisioning center (special services design group)
CPCE         Common peripheral controller equipment
CP           Communication processor (SARTS)
CP           Concentrator identifier signaling link INTER/TRA blocal 1-26
CP           Control program
CPD          Central pulse distributor
CPD          Common packet data channels
